,Regio,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,latitude,longitude
56,Beesel,93275.0,104343.0,102795.0,120309.0,135072.0,154327.0,163815.0,156247.0,180427.0,205644.0,204479.0,204799.0,217854.0,213018.0,190880.0,187712.0,209554.0,213846.0,195273.0,189929.0,198705.0,196107.0,221375.0,213909.0,233443.0,267983.0,290029.0,51.26998845,6.073401860697201
57,Beilen,111297.0,102713.0,103423.0,,,,,,,,,,,,,,,,,,,,,,,,,52.8610999,6.5124319
58,Belfeld,101723.0,97539.0,104068.0,128597.0,113448.0,143569.0,,,,,,,,,,,,,,,,,,,,,,51.310963,6.1128183
60,Bemmel,114534.0,116445.0,122944.0,137019.0,187255.0,187761.0,205978.0,217065.0,,,,,,,,,,,,,,,,,,,,51.8915382,5.8984809
61,Bennebroek,138013.0,168992.0,187051.0,238451.0,219832.0,302031.0,355026.0,342372.0,336603.0,386802.0,348098.0,389177.0,420517.0,438022.0,,,,,,,,,,,,,,52.322419,4.5937366
62,Berg en Dal,,,,,,,,,,,,,,,,,,,,,,241713.0,265704.0,287270.0,292830.0,340206.0,377603.0,51.811356599999996,5.917025692367215
63,Bergambacht,115432.0,130006.0,154570.0,168419.0,172398.0,207115.0,223536.0,257954.0,237562.0,248040.0,279085.0,285887.0,311895.0,303799.0,308329.0,265671.0,273948.0,289502.0,224099.0,260507.0,,,,,,,,51.9314474,4.7827247
64,Bergeijk,,,,183351.0,212875.0,235192.0,261012.0,254727.0,270826.0,281085.0,320236.0,318088.0,350495.0,330046.0,279658.0,293499.0,322647.0,278638.0,207717.0,273849.0,265178.0,275527.0,299913.0,328777.0,335601.0,373967.0,402488.0,51.3211501,5.3569427
65,Bergen (L.),96960.0,106392.0,114319.0,139256.0,155179.0,199084.0,178302.0,196084.0,186870.0,209835.0,228350.0,246969.0,238177.0,259422.0,230157.0,205668.0,205709.0,220671.0,175089.0,188050.0,188826.0,213867.0,221542.0,235110.0,240030.0,275066.0,301211.0,51.58964675,6.078663459935446
66,Bergen (NH.),185870.0,195648.0,205471.0,246732.0,305633.0,370091.0,356976.0,358303.0,331731.0,364122.0,370721.0,416536.0,447451.0,443170.0,457041.0,412441.0,437968.0,361791.0,341270.0,334932.0,356475.0,403609.0,463173.0,476861.0,488406.0,549858.0,659453.0,52.6702278,4.7011616
67,Bergen op Zoom,84558.0,89720.0,104208.0,112199.0,126100.0,139511.0,168464.0,183442.0,181511.0,201106.0,212656.0,225049.0,230576.0,227246.0,212761.0,222397.0,215816.0,208454.0,195589.0,200113.0,207778.0,223748.0,217722.0,233913.0,255679.0,278752.0,307371.0,51.4944756,4.2871541
68,Bergeyk,110449.0,132137.0,165003.0,184307.0,,,,,,,,,,,,,,,,,,,,,,,,51.2670092,5.3963971
69,Bergh,102922.0,112347.0,117995.0,131644.0,158819.0,177047.0,196947.0,206643.0,228080.0,223310.0,,,,,,,,,,,,,,,,,,51.90613865,6.230300463240144
70,Bergschenhoek,106392.0,134314.0,143680.0,154417.0,188695.0,210651.0,255696.0,250407.0,285216.0,319159.0,298224.0,323524.0,,,,,,,,,,,,,,,,51.98934,4.5016775
71,Berkel en Rodenrijs,118377.0,127662.0,144208.0,138410.0,176287.0,195319.0,241945.0,237251.0,237631.0,239908.0,245242.0,269881.0,,,,,,,,,,,,,,,,51.9911323,4.4739774
72,Berkel-Enschot,119414.0,130652.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.5854521,5.1422542
73,Berkelland,,,,,,,,,,,225124.0,230894.0,253552.0,245279.0,230352.0,223086.0,225848.0,218059.0,197200.0,191881.0,209095.0,221494.0,234473.0,249886.0,265879.0,302442.0,339725.0,52.10152,6.618404626883939
74,Berlicum,139667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6783377,5.3991284
75,Bernheze,111791.0,126933.0,149614.0,170229.0,184507.0,221037.0,254587.0,265300.0,283958.0,289790.0,293469.0,304250.0,345875.0,346803.0,311701.0,318487.0,274040.0,270050.0,241832.0,248280.0,262080.0,264041.0,292958.0,312556.0,327786.0,368167.0,425441.0,51.683532850000006,5.521242816477055
76,Bernisse,98951.0,102248.0,108459.0,126089.0,143126.0,159868.0,191508.0,202689.0,236150.0,213476.0,227052.0,243480.0,255330.0,271200.0,221479.0,251563.0,239486.0,274294.0,204321.0,217669.0,,,,,,,,51.8344442,4.2628245
77,Best,94912.0,86929.0,132645.0,142587.0,157707.0,196717.0,212883.0,241772.0,250245.0,251461.0,271966.0,295863.0,321160.0,307978.0,311592.0,261181.0,278445.0,245611.0,233978.0,257869.0,244359.0,271229.0,291684.0,310762.0,341016.0,364533.0,414438.0,51.5033671,5.3938665
78,Beuningen,101535.0,106914.0,125640.0,124963.0,150542.0,195815.0,202846.0,222824.0,225571.0,246599.0,244158.0,258473.0,276689.0,256208.0,246188.0,242071.0,244630.0,243698.0,217853.0,225126.0,240907.0,239749.0,258172.0,300367.0,299340.0,334859.0,378836.0,51.8586611,5.767357
79,Beverwijk,79148.0,90546.0,100894.0,107588.0,127498.0,144980.0,152905.0,171163.0,180813.0,180204.0,195639.0,199201.0,198193.0,203237.0,189753.0,195648.0,197874.0,193932.0,170642.0,176332.0,194383.0,205799.0,224475.0,245578.0,258905.0,304572.0,335751.0,52.4876371,4.6603502
80,Binnenmaas,91219.0,108047.0,127363.0,133225.0,149860.0,191892.0,200246.0,212494.0,265977.0,222181.0,265735.0,264011.0,260798.0,266094.0,256901.0,265281.0,254511.0,238857.0,236653.0,220068.0,222344.0,241111.0,253070.0,268752.0,,,,51.7938909,4.5156771
81,Bladel,,,138237.0,158155.0,185890.0,226149.0,245143.0,234998.0,256024.0,271329.0,278085.0,294347.0,288593.0,306082.0,291167.0,273458.0,275188.0,247690.0,239013.0,237593.0,247653.0,254590.0,272325.0,295539.0,334264.0,358832.0,409300.0,51.37121075,5.234630644566941
83,Blaricum,224507.0,277904.0,279800.0,335897.0,491949.0,670412.0,518571.0,613507.0,485110.0,631923.0,692900.0,718218.0,803413.0,764548.0,702249.0,788688.0,775402.0,761560.0,609767.0,488612.0,549464.0,554646.0,619585.0,902214.0,775909.0,831788.0,1067258.0,52.281133749999995,5.29371090566366
84,Bleiswijk,137276.0,132449.0,150018.0,156325.0,174353.0,188222.0,212496.0,260845.0,257195.0,251771.0,258558.0,254195.0,,,,,,,,,,,,,,,,52.0109579,4.5310837
85,Bloemendaal,229045.0,246104.0,252057.0,339621.0,447436.0,565093.0,607984.0,606864.0,554130.0,558844.0,647051.0,747554.0,715942.0,837221.0,677482.0,667014.0,697939.0,546697.0,585525.0,550186.0,597694.0,649703.0,775770.0,777662.0,831578.0,863297.0,1007936.0,52.3742917,4.591534676879699
87,Bodegraven,112355.0,122107.0,124908.0,139171.0,167168.0,188665.0,210396.0,204645.0,226676.0,224869.0,259813.0,252154.0,275497.0,281603.0,242774.0,258002.0,,,,,,,,,,,,52.0834347,4.7510872
88,Bodegraven-Reeuwijk,,,,,,,,,,,,,,,,,278004.0,270766.0,260904.0,260044.0,264394.0,265782.0,277598.0,296157.0,330097.0,356638.0,429306.0,52.0677553,4.7575800066386025
89,Boekel,122631.0,132519.0,154767.0,175843.0,198365.0,229042.0,226782.0,257380.0,265054.0,261202.0,283692.0,314195.0,309249.0,306493.0,301074.0,258077.0,240743.0,247967.0,247424.0,232914.0,234539.0,252999.0,264489.0,292198.0,315919.0,325511.0,366401.0,51.605927300000005,5.69911232186362
90,Bolsward,59510.0,71419.0,87841.0,90902.0,98581.0,115155.0,129752.0,149718.0,161260.0,162844.0,181481.0,192754.0,182329.0,200514.0,197762.0,188121.0,,,,,,,,,,,,53.0620178,5.5228964
91,Borculo,96331.0,104208.0,119444.0,110007.0,142892.0,163863.0,194124.0,220429.0,209300.0,220107.0,,,,,,,,,,,,,,,,,,52.1148708,6.5181238
93,Borger-Odoorn,,,,108725.0,133048.0,148120.0,166120.0,184277.0,181098.0,186121.0,199912.0,215953.0,218167.0,220050.0,213588.0,220469.0,210538.0,196611.0,170312.0,178862.0,193502.0,204217.0,212736.0,216935.0,233711.0,276324.0,305783.0,52.9000925,6.8821614819282875
94,Born,94369.0,110790.0,129649.0,136629.0,153185.0,162310.0,,,,,,,,,,,,,,,,,,,,,,51.03383,5.80965
